SESSION_ID,politics,Harmed,Unnat,Friend,Duties,Rights,Group,Loyalty,Violence,Desires,Profiting,Decency,Unfair,Interests,Weak,Author,Uplifting,Rank,Emotionally,Traditions,Treated,Betray,Respect,Slap,Heritage,Chastity,Romantic,Revolting,Wellbeing,Compassion,Line,Kill,Grouploy,Govharm,Sexroles,Soldier,Sin,Justice,Wrongdisgust,Fairly,Kidrespect,education,income2,gender,Age,TerrorRev,BrotherRev
396832,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,-1,28,,
421240,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,1,23,,
420894,-3,,,,,,,,,,,,,,,,,,,,,,,6,5,1,6,6,1,6,6,6,2,6,4,2,2,6,2,6,4,7,2,1,23,5,2
396771,-3,,,,,,,,,,,,,,,,,,,,,,,4,2,4,4,1,1,4,4,3,2,3,3,4,1,5,1,4,4,7,2,1,24,6,6
419900,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,1,27,,
397990,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,1,28,,
419007,-3,,,,,,,,,,,,,,,,,,,,,,,4,2,1,1,5,1,6,6,6,5,5,1,4,1,6,4,6,4,7,3,-1,25,6,3
396539,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,1,39,,
397424,-3,,,,,,,,,,,,,,,,,,,,,,,5,2,1,3,2,1,4,5,3,2,4,1,1,1,6,2,6,3,7,3,1,22,5,6
417852,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,1,29,,
397191,-3,,,,,,,,,,,,,,,,,,,,,,,4,2,2,2,2,1,5,4,5,1,6,2,1,2,6,1,1,2,7,4,1,28,6,3
419239,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,1,22,,
420625,-3,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,6,3,1,1,6,2,6,6,5,5,6,2,6,7,5,1,58,1,1
422588,-3,,,,,,,,,,,,,,,,,,,,,,,6,2,4,2,2,1,6,6,4,2,6,1,2,1,6,2,6,5,7,5,1,29,6,2
422407,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,1,34,,
421344,-3,,,,,,,,,,,,,,,,,,,,,,,6,2,1,3,2,1,6,4,6,1,3,2,2,1,5,1,6,6,7,,1,41,6,1
419391,-3,,,,,,,,,,,,,,,,,,,,,,,5,4,2,3,1,4,5,4,6,2,4,2,2,1,5,4,3,2,7,,1,23,6,4
397841,-3,,,,,,,,,,,,,,,,,,,,,,,6,5,3,6,4,4,6,6,6,5,6,4,5,1,6,1,6,4,8,1,-1,26,6,1
417519,-3,,,,,,,,,,,,,,,,,,,,,,,6,1,1,4,,,,,,,,,,,,,,,8,1,-1,29,3,3
423431,-3,,,,,,,,,,,,,,,,,,,,,,,3,2,1,1,1,1,5,2,2,2,4,1,2,1,6,1,6,5,8,1,1,30,6,2
422346,-3,,,,,,,,,,,,,,,,,,,,,,,6,2,3,6,4,1,6,5,2,2,2,2,3,1,5,5,6,5,8,1,1,63,3,1
422219,-3,,,,,,,,,,,,,,,,,,,,,,,5,5,2,4,1,3,6,4,2,3,4,3,4,1,5,1,5,4,8,1,1,28,4,4
395562,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,1,25,,
396235,-3,,,,,,,,,,,,,,,,,,,,,,,6,3,2,2,2,2,4,4,2,4,4,2,4,1,6,2,5,5,8,2,-1,29,5,5
418357,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,1,39,,
395456,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,1,29,,
421358,-3,,,,,,,,,,,,,,,,,,,,,,,6,5,3,6,1,2,4,4,4,2,5,4,3,1,5,2,6,4,8,3,1,50,6,5
423628,-3,,,,,,,,,,,,,,,,,,,,,,,6,5,1,5,4,1,3,6,3,2,4,5,2,1,2,1,4,2,8,3,-1,59,5,2
417539,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,1,54,,
398176,-3,,,,,,,,,,,,,,,,,,,,,,,5,3,5,1,2,2,5,6,5,2,5,3,1,1,6,3,5,4,8,4,-1,41,5,4
422146,-3,,,,,,,,,,,,,,,,,,,,,,,6,1,4,6,5,1,6,5,6,3,6,1,3,1,6,1,6,5,8,4,1,57,6,1
419642,-3,,,,,,,,,,,,,,,,,,,,,,,6,3,1,1,1,1,6,6,6,3,6,1,1,1,6,1,6,3,8,4,-1,49,6,1
423446,-3,,,,,,,,,,,,,,,,,,,,,,,6,3,2,4,5,2,5,5,4,4,4,1,2,1,5,3,4,4,9,1,,29,4,4
423180,-3,,,,,,,,,,,,,,,,,,,,,,,6,1,2,6,1,1,6,5,1,1,6,2,5,1,6,1,6,4,9,1,-1,51,6,6
420809,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,1,71,,
419870,-3,,,,,,,,,,,,,,,,,,,,,,,5,3,1,6,1,1,6,6,1,1,5,1,1,1,5,1,5,2,9,2,1,26,6,6
395887,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,-1,28,,
420214,-3,,,,,,,,,,,,,,,,,,,,,,,4,4,4,3,2,3,5,4,5,3,4,3,3,2,6,3,6,4,9,2,1,45,6,4
423756,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,1,30,,
397133,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,1,49,,
