SESHID,politics,harmed1,suffered1,violence1,differently1,rights1,unfairly1,betray1,friend1,loyalty1,rank1,duties1,respect1,disgust1,purity1,unnatural1,income2,education,gender,Age
209334,-3,3,1,6,3,6,6,1,1,4,1,6,3,1,1,1,2,5,-1,28
209340,-3,6,6,6,6,6,5,4,3,4,3,3,4,2,2,5,4,9,1,27
209419,-3,6,5,6,5,6,6,4,5,4,3,5,4,4,3,4,3,9,1,50
209555,-3,6,6,6,6,6,6,5,2,4,5,4,3,4,1,6,3,7,1,30
210425,-3,5,5,6,6,6,6,4,2,5,2,5,2,1,1,1,,5,-1,25
209782,-3,6,6,6,6,6,6,5,4,5,6,3,3,1,1,6,2,12,1,38
209786,-3,5,5,6,6,6,5,3,1,3,2,4,2,3,3,4,,7,1,23
209799,-3,6,6,6,6,6,6,3,5,2,1,3,3,4,3,3,1,5,-1,21
209940,-3,6,6,6,6,6,5,4,1,3,1,4,2,2,4,3,2,7,1,37
210096,-3,6,3,4,3,5,4,2,3,3,4,3,1,2,1,2,1,5,-1,40
210136,-3,6,6,6,6,6,6,6,3,3,6,2,3,3,2,3,4,12,1,42
210193,-3,6,3,6,5,5,4,1,2,4,2,6,1,1,2,2,4,7,-1,30
210228,-3,6,6,6,6,6,6,3,1,2,6,6,4,3,3,2,3,9,1,41
210273,-3,5,5,3,4,4,4,4,5,2,3,2,1,3,4,5,5,,-1,19
210288,-3,6,5,6,6,6,6,4,3,4,1,4,2,4,1,4,,9,1,49
210360,-3,6,6,6,6,6,6,2,2,2,4,2,1,2,1,1,2,5,1,20
210495,-3,6,5,5,6,6,5,5,1,5,4,5,4,5,5,5,2,5,1,43
210513,-3,5,5,5,5,5,5,5,3,4,2,2,3,4,4,5,1,5,1,21
210545,-3,6,2,4,4,5,4,3,3,3,4,3,2,2,3,4,1,5,-1,22
210670,-3,6,5,6,6,6,5,3,5,4,1,6,3,2,4,3,3,7,1,33
213279,-3,6,6,6,6,6,6,4,3,6,4,4,5,2,3,1,1,7,1,25
211182,-3,5,4,5,5,5,4,3,3,5,2,5,2,4,4,5,3,9,1,53
211228,-3,6,6,6,6,6,6,4,2,4,1,4,3,1,4,1,2,5,1,33
211504,-3,6,5,6,5,6,6,5,3,2,4,5,3,4,5,6,1,8,1,57
211605,-3,6,6,6,6,6,6,1,1,6,1,3,1,1,1,1,1,9,1,25
211762,-3,6,6,6,6,6,6,4,4,6,1,5,2,4,3,6,2,8,1,41
211796,-3,6,4,5,5,6,5,4,4,4,4,5,3,2,3,3,4,12,-1,56
211888,-3,5,6,5,6,6,6,2,2,2,4,1,3,1,4,4,1,5,1,23
211941,-3,6,5,6,5,6,6,3,2,6,5,6,5,2,2,6,3,7,-1,26
212060,-3,3,3,1,6,6,6,2,1,3,1,1,1,1,4,1,3,9,-1,29
212245,-3,6,5,6,5,6,4,4,2,4,4,4,2,2,2,4,4,7,1,28
212289,-3,5,5,3,5,6,5,4,4,3,5,4,5,3,3,3,1,7,-1,23
212339,-3,6,6,6,4,6,5,3,3,5,4,4,2,5,3,3,3,9,-1,33
212361,-3,6,6,5,5,5,6,3,4,4,1,5,4,3,3,3,1,8,-1,24
212601,-3,5,4,5,5,6,5,4,4,4,2,5,3,4,3,3,,7,1,58
212663,-3,6,6,5,4,5,4,2,3,3,2,2,2,2,2,3,3,5,1,22
212695,-3,6,6,6,5,6,4,6,6,5,5,4,1,3,2,5,,7,1,25
212834,-3,6,6,6,6,6,5,2,4,4,1,3,4,2,5,5,,4,1,19
212758,-3,6,5,5,5,4,5,3,1,2,1,2,1,3,1,2,5,7,-1,34
