V101,gender,educ,race,pid7,pid3,ideo5,emote,treatd,lovec,auth,purity,math,weak,unfair,betray,conform,disgust,cruel,rights,loyal,chaos,goddis,compat,treatf,proudc,authc,nodisgust,dogood,hurt,justice,loyalf,roles,notnat,kill,rich,team,obey,chaste,religattend,income,age,state,zip,county,inputstate
163120863,1,5,1,7,2,5,3,,5,,2,3,,3,5,3,,,,,5,,4,,,,,5,,,5,,,6,3,4,5,4,5,1,79,OK,73160,Cleveland OK,40
163124931,1,4,1,7,2,5,4,,,,5,,6,6,6,,4,,5,,6,,5,6,6,,,6,,,5,6,,,,2,6,,6,9,73,FL,32534,Escambia FL,12
163133817,1,3,1,2,1,2,6,,4,,,,,5,4,3,,5,,,6,1,,,,,2,,,,3,1,,2,4,4,4,2,2,8,69,TX,78727,Travis TX,48
163136849,2,6,3,7,2,5,,5,,6,4,,,4,,2,1,,,1,3,,,,6,6,,,1,6,6,6,5,4,,,,,1,10,31,CO,80239,Denver CO,8
163138544,1,5,1,5,3,4,,5,,5,5,,4,5,,,4,,,,5,4,,,,6,,6,6,5,5,,4,3,2,,,,4,,69,MI,48750,Iosco MI,26
163144390,1,6,1,1,1,1,,5,,,3,3,,6,,,3,,5,3,,1,6,,6,,1,,,,1,,1,,,1,6,1,2,12,63,KY,40205,Jefferson KY,21
163153016,1,5,1,7,2,5,3,2,6,6,3,2,3,5,4,5,2,2,3,5,4,2,2,2,6,6,,,,,5,5,5,1,1,2,5,2,4,11,81,CA,92075,San Diego CA,6
163156590,2,3,1,,1,2,4,,,,4,4,5,,5,4,,5,,5,,,,,,,6,6,,5,3,5,,6,1,,,1,6,3,73,FL,33460,Palm Beach FL,12
163159238,1,6,1,7,2,5,,4,5,,6,,,6,4,2,5,,,5,,,,6,,6,5,6,6,,,5,,,,4,,1,6,6,59,NH,3301,Merrimack NH,33
163159251,1,5,1,1,1,2,,,3,3,3,,,,,3,6,6,6,,5,,,,5,6,6,6,6,,5,,2,,3,,,,6,11,78,CA,90065,Los Angeles CA,6
163163156,2,5,1,7,2,5,3,6,6,6,6,3,4,4,6,4,,,,,,6,4,2,6,6,,,,,5,5,6,6,1,5,6,6,2,,69,PA,17112,Dauphin PA,42
163167772,1,5,1,2,1,2,5,4,3,2,2,3,3,3,3,3,3,5,6,2,5,1,5,3,4,4,1,6,5,5,3,4,1,5,3,4,4,3,6,11,37,FL,32751,Orange FL,12
163177482,1,5,1,6,2,4,6,,5,,,1,,6,,4,5,,5,,,4,,,,,,6,6,6,6,6,6,,,6,,3,4,13,65,NY,11560,Nassau NY,36
163181087,2,2,1,,3,3,4,5,,5,,,4,6,,,,,6,,6,4,4,5,,6,,,6,6,,1,4,,,4,,,4,12,19,PA,15601,Westmoreland PA,42
163185648,2,2,3,6,2,4,1,,1,,,1,1,1,,,1,1,,1,,,,,6,,6,6,,4,,4,3,,,4,,3,5,10,42,CA,93065,Ventura CA,6
163185820,2,1,1,7,2,5,6,,,5,5,5,,5,2,,,,,3,,6,6,,,6,6,,6,,,6,,6,6,6,,,5,3,18,NJ,7712,Monmouth NJ,34
