id,cards,ballots,racepledge,talkradio,familyshun,flagburn,parentcurse,handgesture,rottentomato,soulsell,molesterblood,stageanimal,icebath,idiotsign,headache,dogkick,overweight,palm,ideo7,age,education,gender,state,income,religion
1064,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,6.0,76,9,2,72,12,1.0
1065,8.0,8.0,8.0,8.0,8.0,8.0,5.0,7.0,5.0,8.0,1.0,8.0,5.0,8.0,7.0,8.0,7.0,8.0,4.0,65,4,1,74,13,3.0
1066,7.0,8.0,8.0,8.0,7.0,8.0,8.0,7.0,1.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,45,12,1,23,17,3.0
1067,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,59,9,2,57,9,2.0
1068,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,6.0,6.0,7.0,8.0,8.0,8.0,4.0,73,9,2,43,11,2.0
1069,3.0,3.0,5.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,7.0,4.0,3.0,3.0,3.0,6.0,3.0,5.0,4.0,33,9,2,23,8,
1070,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,2.0,39,11,1,21,13,3.0
1071,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,,8.0,8.0,8.0,8.0,8.0,2.0,59,12,2,14,16,
1072,3.0,4.0,6.0,3.0,6.0,4.0,5.0,1.0,4.0,7.0,5.0,6.0,5.0,4.0,6.0,8.0,5.0,6.0,4.0,39,9,2,43,6,5.0
1073,8.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,6.0,1.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,3.0,63,13,1,43,13,5.0
1074,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,2.0,60,9,2,58,1,2.0
1075,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,7.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,6.0,71,9,2,56,10,2.0
1076,8.0,8.0,8.0,8.0,7.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,4.0,18,9,1,32,1,5.0
1077,8.0,8.0,8.0,8.0,8.0,1.0,8.0,1.0,1.0,8.0,5.0,6.0,3.0,5.0,4.0,8.0,8.0,8.0,3.0,48,10,2,33,12,2.0
1078,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,8.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,5.0,84,9,1,23,8,1.0
1079,3.0,6.0,6.0,4.0,6.0,3.0,6.0,6.0,3.0,7.0,4.0,5.0,3.0,5.0,5.0,8.0,5.0,6.0,4.0,52,12,1,35,15,3.0
1080,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,3.0,8.0,7.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,6.0,20,10,1,31,16,2.0
1081,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,6.0,8.0,8.0,8.0,8.0,8.0,4.0,48,9,2,86,13,5.0
1082,4.0,8.0,6.0,6.0,8.0,5.0,8.0,4.0,4.0,8.0,4.0,8.0,4.0,4.0,4.0,8.0,8.0,6.0,6.0,64,10,2,84,11,3.0
1083,7.0,6.0,7.0,8.0,8.0,8.0,8.0,7.0,4.0,8.0,7.0,8.0,8.0,7.0,8.0,8.0,8.0,7.0,4.0,62,9,2,33,8,2.0
1085,7.0,8.0,7.0,7.0,8.0,7.0,8.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0,7.0,7.0,4.0,74,13,2,31,13,3.0
1086,4.0,8.0,6.0,7.0,7.0,8.0,7.0,1.0,1.0,8.0,6.0,6.0,5.0,7.0,7.0,8.0,5.0,6.0,1.0,18,9,1,31,17,5.0
1087,3.0,6.0,4.0,7.0,6.0,6.0,6.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,2.0,33,9,2,21,12,2.0
1088,4.0,5.0,7.0,4.0,8.0,3.0,6.0,5.0,2.0,6.0,7.0,5.0,5.0,6.0,6.0,5.0,4.0,7.0,2.0,31,13,2,14,18,5.0
1089,5.0,4.0,1.0,4.0,7.0,3.0,8.0,3.0,8.0,8.0,1.0,5.0,8.0,4.0,8.0,8.0,4.0,1.0,6.0,71,10,1,34,4,2.0
1090,7.0,8.0,8.0,8.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,8.0,4.0,18,9,2,31,9,5.0
1091,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,4.0,48,10,1,34,11,1.0
1093,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,3.0,77,10,2,34,7,3.0
1094,7.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,7.0,8.0,6.0,7.0,7.0,7.0,8.0,8.0,7.0,8.0,5.0,44,12,1,72,11,2.0
1095,6.0,8.0,8.0,8.0,7.0,8.0,8.0,2.0,1.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1.0,8.0,3.0,67,9,1,21,17,3.0
1096,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1.0,8.0,2.0,4.0,4.0,3.0,8.0,8.0,7.0,25,12,1,74,7,2.0
1097,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,5.0,87,10,1,31,10,1.0
1098,3.0,4.0,8.0,8.0,8.0,8.0,8.0,1.0,8.0,8.0,1.0,8.0,8.0,8.0,8.0,1.0,8.0,8.0,5.0,28,9,1,22,16,4.0
1100,8.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,8.0,8.0,8.0,5.0,41,10,2,91,14,3.0
1102,5.0,8.0,7.0,8.0,8.0,4.0,7.0,6.0,6.0,6.0,1.0,8.0,6.0,5.0,6.0,8.0,8.0,7.0,4.0,50,12,2,21,17,5.0
1103,1.0,6.0,5.0,7.0,7.0,7.0,6.0,5.0,1.0,7.0,5.0,7.0,6.0,7.0,6.0,7.0,6.0,5.0,4.0,34,9,2,59,6,2.0
1104,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,5.0,41,11,1,91,5,3.0
1105,7.0,7.0,7.0,8.0,8.0,8.0,8.0,7.0,1.0,8.0,8.0,8.0,7.0,7.0,7.0,8.0,7.0,7.0,5.0,51,10,2,92,16,3.0
1106,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,5.0,8.0,8.0,8.0,4.0,49,10,2,34,12,5.0
1107,8.0,8.0,8.0,5.0,8.0,6.0,8.0,8.0,5.0,6.0,5.0,4.0,4.0,5.0,5.0,8.0,8.0,8.0,6.0,63,12,1,93,3,3.0
1108,4.0,3.0,2.0,5.0,7.0,7.0,3.0,2.0,1.0,2.0,8.0,3.0,5.0,3.0,4.0,5.0,3.0,2.0,4.0,43,9,1,93,7,
1109,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,4.0,62,11,1,58,13,2.0
1110,7.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,5.0,8.0,8.0,8.0,6.0,8.0,2.0,61,10,2,22,7,2.0
1112,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,4.0,7.0,7.0,8.0,8.0,8.0,8.0,5.0,31,11,1,34,12,2.0
1113,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,3.0,8.0,1.0,8.0,4.0,8.0,8.0,8.0,8.0,8.0,5.0,77,12,1,21,16,2.0
1114,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,6.0,73,9,2,43,11,2.0
1115,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,4.0,50,12,1,93,7,3.0
1116,6.0,8.0,1.0,8.0,8.0,8.0,8.0,7.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1.0,4.0,73,11,2,56,1,3.0
1117,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,5.0,5.0,6.0,8.0,8.0,8.0,6.0,46,12,2,73,17,1.0
1118,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,2.0,21,9,2,88,1,1.0
1120,4.0,5.0,7.0,4.0,8.0,4.0,5.0,4.0,6.0,5.0,7.0,7.0,4.0,4.0,7.0,8.0,4.0,7.0,2.0,24,9,2,88,9,
1121,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1.0,8.0,8.0,8.0,8.0,6.0,6.0,8.0,8.0,8.0,8.0,2.0,48,12,2,84,15,3.0
1122,8.0,8.0,8.0,8.0,8.0,,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,4.0,32,8,1,74,9,3.0
